source,ref,entity_type,problem,severity,fix_group,priority,suggested_action
file-coverage,src-156,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""jcleprod-norwegian-seafood-sd-2025.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-157,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""frontiers-phosphorus-aquaculture-norway-2023.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-158,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""ellen-macarthur-denmark-circular-2015.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-159,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""mst-denmark-food-waste-978-87-93529-80-9-2017.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-160,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""slu-eriksson-food-chain-sustainability-2016.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-161,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""nordic-council-low-carbon-circular-transition-2022.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-162,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""nordic-council-waste-prevention-nord2025-007.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-163,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""iceland-ocean-cluster-seafood-circular-2022.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-164,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""regjeringen-handlingsplan-sirkulaer-okonomi-2024-2025.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-2,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""1. Food system_ Oslo Innovasjons program 2025.md"" or update SourceDoc.filename to actual location"
file-coverage,src-51,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""merkevarer-history.md"" or update SourceDoc.filename to actual location"
file-coverage,src-7,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""2026 1401 DROFTING TRANSITION GROUPS.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-73,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""van-zanten-nature-food-2023.md"" or update SourceDoc.filename to actual location"
file-coverage,src-74,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""eat-lancet-2025.md"" or update SourceDoc.filename to actual location"
file-coverage,src-75,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""jrc-spp-2025.md"" or update SourceDoc.filename to actual location"
file-coverage,src-76,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""nkj-white-paper-2024.md"" or update SourceDoc.filename to actual location"
file-coverage,src-77,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""halseth-nhh-2023.md"" or update SourceDoc.filename to actual location"
file-coverage,src-78,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""konkurrensverket-2024-4.md"" or update SourceDoc.filename to actual location"
file-coverage,src-79,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""kfst-fusjon-2024.md"" or update SourceDoc.filename to actual location"
file-coverage,src-8,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""2026 TRANSITION GROUP OVERVIEW WORKING DOC.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-80,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""cdrc-priority-places.md"" or update SourceDoc.filename to actual location"
file-coverage,src-81,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""statistics-finland-hbs-2012.md"" or update SourceDoc.filename to actual location"
file-coverage,src-82,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""ecr-dagligvarukartan-2024.md"" or update SourceDoc.filename to actual location"
file-coverage,src-83,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""pty-grocery-2024.md"" or update SourceDoc.filename to actual location"
file-coverage,src-84,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""usda-gain-denmark-2024.md"" or update SourceDoc.filename to actual location"
file-coverage,src-85,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""usda-gain-iceland-2024.md"" or update SourceDoc.filename to actual location"
file-coverage,src-86,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""nhh-food-steen-2024.md"" or update SourceDoc.filename to actual location"
file-coverage,src-9,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""Natural State Mail - NCH application 2025.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-91,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""matsvinnutvalget-2024.md"" or update SourceDoc.filename to actual location"
file-coverage,src-92,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""nmr-vision-2030.md"" or update SourceDoc.filename to actual location"
file-coverage,src-93,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""oecd-flw-2025.md"" or update SourceDoc.filename to actual location"
file-coverage,src-94,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""greenpeace-feeding-monster-2021.md"" or update SourceDoc.filename to actual location"
file-coverage,src-95,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""feedback-blue-empire-2024.md"" or update SourceDoc.filename to actual location"
file-coverage,src-96,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""ravareloeftet-2024.md"" or update SourceDoc.filename to actual location"
file-coverage,src-97,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""skretting-sustainability-2024.md"" or update SourceDoc.filename to actual location"
file-coverage,src-98,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""nordicfeed-nordforsk.md"" or update SourceDoc.filename to actual location"
file-coverage,src-99,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""green-platform-mikroalger.md"" or update SourceDoc.filename to actual location"
file-coverage,src-food-0cc262717a40,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""Vi har et enormt skjult matsvinn _ Framtiden i våre hender.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-food-1d1cfb1ad816,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""Mat og produksjon - Norsk Bonde- og Småbrukarlag _ Norsk Bonde- og Småbrukarlag.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-food-328a25834079,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""Klimakrisen presser norske bønder _ Framtiden i våre hender.pdf"" or update SourceDoc.filename to actual location"
