Year,NACECode,Industry,Prob,BNPB,LOKO,DRI
1991,A64NP2X03A,Fiske og fangst,6399,4088,444,2530
1991,A64NP2X03B,Akvakultur,4466,1031,878,-347
1991,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",75351,13686,10196,2841
1991,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,64015,11331,8459,2355
1991,nr2312,¬¬ Bearbeiding og konservering av fisk mv,11336,2355,1737,486
1991,nr23_6,Totalt for næringer,1316609,696285,372093,197689
1991,pub2X03,"Fiske, fangst og akvakultur",10865,5119,1322,2183
1992,A64NP2X01,"Jordbruk, jakt og viltstell",25916,12041,2314,10867
1992,A64NP2X03A,Fiske og fangst,6268,3948,468,2239
1992,A64NP2X03B,Akvakultur,4346,1005,852,-293
1992,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",79311,16056,10536,4677
1992,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,66684,13590,8714,4328
1992,nr2312,¬¬ Bearbeiding og konservering av fisk mv,12627,2466,1822,349
1992,nr23_6,Totalt for næringer,1343977,713191,386566,197341
1992,pub2X03,"Fiske, fangst og akvakultur",10614,4953,1320,1946
1993,A64NP2X01,"Jordbruk, jakt og viltstell",26302,12856,2490,11982
1993,A64NP2X03A,Fiske og fangst,6279,3865,453,1837
1993,A64NP2X03B,Akvakultur,6211,1804,814,578
1993,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",79894,16667,11063,4514
1993,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,66328,13867,8993,4161
1993,nr2312,¬¬ Bearbeiding og konservering av fisk mv,13566,2800,2070,353
1993,nr23_6,Totalt for næringer,1403966,746329,396476,216846
1993,pub2X03,"Fiske, fangst og akvakultur",12490,5669,1267,2415
1994,A64NP2X01,"Jordbruk, jakt og viltstell",24803,12043,2650,11358
1994,A64NP2X03A,Fiske og fangst,7691,4928,498,2965
1994,A64NP2X03B,Akvakultur,7987,2502,1009,1102
1994,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",83494,16595,11797,3704
1994,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,68124,13463,9554,3072
1994,nr2312,¬¬ Bearbeiding og konservering av fisk mv,15370,3132,2243,632
1994,nr23_6,Totalt for næringer,1482192,776744,416656,224166
1994,pub2X03,"Fiske, fangst og akvakultur",15678,7430,1507,4067
1995,A64NP2X01,"Jordbruk, jakt og viltstell",24446,11636,2741,10454
1995,A64NP2X03A,Fiske og fangst,8430,5452,554,3609
1995,A64NP2X03B,Akvakultur,8515,2383,1182,796
1995,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",86284,17605,12346,4233
1995,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,69586,14544,9944,3509
1995,nr2312,¬¬ Bearbeiding og konservering av fisk mv,16698,3061,2402,724
1995,nr23_6,Totalt for næringer,1580878,829224,442062,242950
1995,pub2X03,"Fiske, fangst og akvakultur",16945,7835,1736,4405
1996,A64NP2X01,"Jordbruk, jakt og viltstell",24863,11742,2932,10094
1996,A64NP2X03A,Fiske og fangst,8909,5609,575,3796
1996,A64NP2X03B,Akvakultur,8053,1395,1176,-213
1996,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",89021,16773,13009,2867
1996,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,71212,13224,10453,1559
1996,nr2312,¬¬ Bearbeiding og konservering av fisk mv,17809,3549,2556,1308
1996,nr23_6,Totalt for næringer,1723566,907982,473812,282178
1996,pub2X03,"Fiske, fangst og akvakultur",16962,7004,1751,3583
1997,A64NP2X01,"Jordbruk, jakt og viltstell",24676,11194,2966,9389
1997,A64NP2X03A,Fiske og fangst,9442,5571,651,3634
1997,A64NP2X03B,Akvakultur,9233,1948,1052,448
1997,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",92716,17349,13652,1825
1997,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,73367,13454,10822,1213
1997,nr2312,¬¬ Bearbeiding og konservering av fisk mv,19349,3895,2830,612
1997,nr23_6,Totalt for næringer,1882515,980621,513852,302264
1997,pub2X03,"Fiske, fangst og akvakultur",18675,7519,1703,4082
1998,A64NP2X01,"Jordbruk, jakt og viltstell",24308,10913,3105,9390
1998,A64NP2X03A,Fiske og fangst,10766,7213,743,5134
1998,A64NP2X03B,Akvakultur,10517,2467,1074,914
1998,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",98973,18080,14331,1323
1998,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,75722,13505,11316,299
1998,nr2312,¬¬ Bearbeiding og konservering av fisk mv,23251,4575,3015,1024
1998,nr23_6,Totalt for næringer,1973316,996172,565219,252460
1998,pub2X03,"Fiske, fangst og akvakultur",21283,9680,1817,6048
1999,A64NP2X01,"Jordbruk, jakt og viltstell",23565,10367,3284,8646
1999,A64NP2X03A,Fiske og fangst,10238,6553,775,4306
1999,A64NP2X03B,Akvakultur,11899,3477,1126,1833
1999,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",104709,20234,15006,2500
1999,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,81069,16255,11903,2225
1999,nr2312,¬¬ Bearbeiding og konservering av fisk mv,23640,3979,3103,275
1999,nr23_6,Totalt for næringer,2124016,1090685,603906,290255
1999,pub2X03,"Fiske, fangst og akvakultur",22137,10030,1901,6139
2000,A64NP2X01,"Jordbruk, jakt og viltstell",23108,9950,3346,8013
2000,A64NP2X03A,Fiske og fangst,10024,5845,765,3416
2000,A64NP2X03B,Akvakultur,15189,5687,1212,3893
2000,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",107078,23625,15724,4876
2000,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,82829,19146,12579,4234
2000,nr2312,¬¬ Bearbeiding og konservering av fisk mv,24249,4479,3145,642
2000,nr23_6,Totalt for næringer,2429141,1323917,638477,470278
2000,pub2X03,"Fiske, fangst og akvakultur",25213,11532,1977,7309
2001,A64NP2X01,"Jordbruk, jakt og viltstell",23254,9394,3303,7012
2001,A64NP2X03A,Fiske og fangst,11779,7517,679,5209
2001,A64NP2X03B,Akvakultur,10598,1678,1262,-255
2001,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",115328,26195,16202,6933
2001,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,89402,21148,12936,5795
2001,nr2312,¬¬ Bearbeiding og konservering av fisk mv,25926,5047,3266,1138
2001,nr23_6,Totalt for næringer,2552333,1378483,677273,475930
2001,pub2X03,"Fiske, fangst og akvakultur",22377,9195,1941,4954
2002,A64NP2X01,"Jordbruk, jakt og viltstell",23606,8919,3230,7313
2002,A64NP2X03A,Fiske og fangst,11464,7143,663,4702
2002,A64NP2X03B,Akvakultur,11004,983,1309,-1346
2002,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",119748,27819,17192,7496
2002,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,95145,23508,13848,7234
2002,nr2312,¬¬ Bearbeiding og konservering av fisk mv,24603,4311,3344,262
2002,nr23_6,Totalt for næringer,2566043,1376162,708749,434652
2002,pub2X03,"Fiske, fangst og akvakultur",22468,8126,1972,3356
2003,A64NP2X01,"Jordbruk, jakt og viltstell",24220,8951,3332,7543
2003,A64NP2X03A,Fiske og fangst,9164,5104,570,2871
2003,A64NP2X03B,Akvakultur,10550,951,1238,-1356
2003,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",119008,29940,17366,8965
2003,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,98163,25493,14222,8413
2003,nr2312,¬¬ Bearbeiding og konservering av fisk mv,20845,4447,3144,552
