"behandlingsmåte","materialtype","år","statistikkvariabel","10513: Avfallsregnskap for Norge (1 000 tonn),"
"Avfallsbehandling i alt","Lett forurensede masser","2012","Avfallsmengde",2004
"Avfallsbehandling i alt","Lett forurensede masser","2013","Avfallsmengde",1389
"Avfallsbehandling i alt","Lett forurensede masser","2014","Avfallsmengde",1481
"Avfallsbehandling i alt","Lett forurensede masser","2015","Avfallsmengde",1899
"Avfallsbehandling i alt","Lett forurensede masser","2016","Avfallsmengde",2262
"Avfallsbehandling i alt","Lett forurensede masser","2017","Avfallsmengde",2841
"Avfallsbehandling i alt","Lett forurensede masser","2018","Avfallsmengde",2593
"Avfallsbehandling i alt","Lett forurensede masser","2019","Avfallsmengde",2758
"Avfallsbehandling i alt","Lett forurensede masser","2020","Avfallsmengde",2692
"Avfallsbehandling i alt","Lett forurensede masser","2021","Avfallsmengde",3081
"Avfallsbehandling i alt","Lett forurensede masser","2022","Avfallsmengde",2320
"Avfallsbehandling i alt","Lett forurensede masser","2023","Avfallsmengde",2297
"Avfallsbehandling i alt","Lett forurensede masser","2024","Avfallsmengde",2511
"Levert til materialgjenvinning","I alt, uten lett forurensede masser","2012","Avfallsmengde",3616
"Levert til materialgjenvinning","I alt, uten lett forurensede masser","2013","Avfallsmengde",3646
"Levert til materialgjenvinning","I alt, uten lett forurensede masser","2014","Avfallsmengde",3883
"Levert til materialgjenvinning","I alt, uten lett forurensede masser","2015","Avfallsmengde",3626
"Levert til materialgjenvinning","I alt, uten lett forurensede masser","2016","Avfallsmengde",3963
"Levert til materialgjenvinning","I alt, uten lett forurensede masser","2017","Avfallsmengde",4027
"Levert til materialgjenvinning","I alt, uten lett forurensede masser","2018","Avfallsmengde",3898
"Levert til materialgjenvinning","I alt, uten lett forurensede masser","2019","Avfallsmengde",4705
"Levert til materialgjenvinning","I alt, uten lett forurensede masser","2020","Avfallsmengde",4294
"Levert til materialgjenvinning","I alt, uten lett forurensede masser","2021","Avfallsmengde",3860
"Levert til materialgjenvinning","I alt, uten lett forurensede masser","2022","Avfallsmengde",4124
"Levert til materialgjenvinning","I alt, uten lett forurensede masser","2023","Avfallsmengde",3892
"Levert til materialgjenvinning","I alt, uten lett forurensede masser","2024","Avfallsmengde",3740
"Levert til materialgjenvinning","Våtorganisk avfall","2012","Avfallsmengde",81
"Levert til materialgjenvinning","Våtorganisk avfall","2013","Avfallsmengde",58
"Levert til materialgjenvinning","Våtorganisk avfall","2014","Avfallsmengde",96
"Levert til materialgjenvinning","Våtorganisk avfall","2015","Avfallsmengde",68
"Levert til materialgjenvinning","Våtorganisk avfall","2016","Avfallsmengde",46
"Levert til materialgjenvinning","Våtorganisk avfall","2017","Avfallsmengde",77
"Levert til materialgjenvinning","Våtorganisk avfall","2018","Avfallsmengde",146
"Levert til materialgjenvinning","Våtorganisk avfall","2019","Avfallsmengde",333
"Levert til materialgjenvinning","Våtorganisk avfall","2020","Avfallsmengde",143
"Levert til materialgjenvinning","Våtorganisk avfall","2021","Avfallsmengde",19
"Levert til materialgjenvinning","Våtorganisk avfall","2022","Avfallsmengde",12
"Levert til materialgjenvinning","Våtorganisk avfall","2023","Avfallsmengde",221
"Levert til materialgjenvinning","Våtorganisk avfall","2024","Avfallsmengde",104
"Levert til materialgjenvinning","Park- og hageavfall","2012","Avfallsmengde",27
"Levert til materialgjenvinning","Park- og hageavfall","2013","Avfallsmengde",7
"Levert til materialgjenvinning","Park- og hageavfall","2014","Avfallsmengde",2
"Levert til materialgjenvinning","Park- og hageavfall","2015","Avfallsmengde",10
"Levert til materialgjenvinning","Park- og hageavfall","2016","Avfallsmengde",13
"Levert til materialgjenvinning","Park- og hageavfall","2017","Avfallsmengde",8
"Levert til materialgjenvinning","Park- og hageavfall","2018","Avfallsmengde",4
"Levert til materialgjenvinning","Park- og hageavfall","2019","Avfallsmengde",25
"Levert til materialgjenvinning","Park- og hageavfall","2020","Avfallsmengde",16
"Levert til materialgjenvinning","Park- og hageavfall","2021","Avfallsmengde",7
"Levert til materialgjenvinning","Park- og hageavfall","2022","Avfallsmengde",72
"Levert til materialgjenvinning","Park- og hageavfall","2023","Avfallsmengde",71
"Levert til materialgjenvinning","Park- og hageavfall","2024","Avfallsmengde",101
"Levert til materialgjenvinning","Treavfall","2012","Avfallsmengde",22
"Levert til materialgjenvinning","Treavfall","2013","Avfallsmengde",33
"Levert til materialgjenvinning","Treavfall","2014","Avfallsmengde",43
"Levert til materialgjenvinning","Treavfall","2015","Avfallsmengde",58
"Levert til materialgjenvinning","Treavfall","2016","Avfallsmengde",64
"Levert til materialgjenvinning","Treavfall","2017","Avfallsmengde",51
"Levert til materialgjenvinning","Treavfall","2018","Avfallsmengde",54
"Levert til materialgjenvinning","Treavfall","2019","Avfallsmengde",52
"Levert til materialgjenvinning","Treavfall","2020","Avfallsmengde",88
"Levert til materialgjenvinning","Treavfall","2021","Avfallsmengde",213
"Levert til materialgjenvinning","Treavfall","2022","Avfallsmengde",383
"Levert til materialgjenvinning","Treavfall","2023","Avfallsmengde",310
"Levert til materialgjenvinning","Treavfall","2024","Avfallsmengde",248
"Levert til materialgjenvinning","Slam","2012","Avfallsmengde",23
"Levert til materialgjenvinning","Slam","2013","Avfallsmengde",38
"Levert til materialgjenvinning","Slam","2014","Avfallsmengde",19
"Levert til materialgjenvinning","Slam","2015","Avfallsmengde",52
"Levert til materialgjenvinning","Slam","2016","Avfallsmengde",23
"Levert til materialgjenvinning","Slam","2017","Avfallsmengde",73
"Levert til materialgjenvinning","Slam","2018","Avfallsmengde",82
"Levert til materialgjenvinning","Slam","2019","Avfallsmengde",165
"Levert til materialgjenvinning","Slam","2020","Avfallsmengde",44
"Levert til materialgjenvinning","Slam","2021","Avfallsmengde",55
"Levert til materialgjenvinning","Slam","2022","Avfallsmengde",2
"Levert til materialgjenvinning","Slam","2023","Avfallsmengde",2
"Levert til materialgjenvinning","Slam","2024","Avfallsmengde",0
"Levert til materialgjenvinning","Papir, papp og kartong","2012","Avfallsmengde",781
"Levert til materialgjenvinning","Papir, papp og kartong","2013","Avfallsmengde",750
"Levert til materialgjenvinning","Papir, papp og kartong","2014","Avfallsmengde",758
"Levert til materialgjenvinning","Papir, papp og kartong","2015","Avfallsmengde",625
"Levert til materialgjenvinning","Papir, papp og kartong","2016","Avfallsmengde",583
"Levert til materialgjenvinning","Papir, papp og kartong","2017","Avfallsmengde",566
"Levert til materialgjenvinning","Papir, papp og kartong","2018","Avfallsmengde",541
"Levert til materialgjenvinning","Papir, papp og kartong","2019","Avfallsmengde",715
"Levert til materialgjenvinning","Papir, papp og kartong","2020","Avfallsmengde",533
"Levert til materialgjenvinning","Papir, papp og kartong","2021","Avfallsmengde",592
"Levert til materialgjenvinning","Papir, papp og kartong","2022","Avfallsmengde",534
"Levert til materialgjenvinning","Papir, papp og kartong","2023","Avfallsmengde",521
"Levert til materialgjenvinning","Papir, papp og kartong","2024","Avfallsmengde",564
"Levert til materialgjenvinning","Glass","2012","Avfallsmengde",91
"Levert til materialgjenvinning","Glass","2013","Avfallsmengde",101
"Levert til materialgjenvinning","Glass","2014","Avfallsmengde",73
"Levert til materialgjenvinning","Glass","2015","Avfallsmengde",109
"Levert til materialgjenvinning","Glass","2016","Avfallsmengde",93
"Levert til materialgjenvinning","Glass","2017","Avfallsmengde",98
"Levert til materialgjenvinning","Glass","2018","Avfallsmengde",122
"Levert til materialgjenvinning","Glass","2019","Avfallsmengde",120
"Levert til materialgjenvinning","Glass","2020","Avfallsmengde",105
"Levert til materialgjenvinning","Glass","2021","Avfallsmengde",119
"Levert til materialgjenvinning","Glass","2022","Avfallsmengde",104
"Levert til materialgjenvinning","Glass","2023","Avfallsmengde",139
"Levert til materialgjenvinning","Glass","2024","Avfallsmengde",139
"Levert til materialgjenvinning","Metall","2012","Avfallsmengde",871
"Levert til materialgjenvinning","Metall","2013","Avfallsmengde",750
"Levert til materialgjenvinning","Metall","2014","Avfallsmengde",805
"Levert til materialgjenvinning","Metall","2015","Avfallsmengde",786
"Levert til materialgjenvinning","Metall","2016","Avfallsmengde",771
"Levert til materialgjenvinning","Metall","2017","Avfallsmengde",803
"Levert til materialgjenvinning","Metall","2018","Avfallsmengde",858
"Levert til materialgjenvinning","Metall","2019","Avfallsmengde",591
"Levert til materialgjenvinning","Metall","2020","Avfallsmengde",568
"Levert til materialgjenvinning","Metall","2021","Avfallsmengde",580
"Levert til materialgjenvinning","Metall","2022","Avfallsmengde",585
"Levert til materialgjenvinning","Metall","2023","Avfallsmengde",532
"Levert til materialgjenvinning","Metall","2024","Avfallsmengde",560
"Levert til materialgjenvinning","EE-avfall","2012","Avfallsmengde",117
"Levert til materialgjenvinning","EE-avfall","2013","Avfallsmengde",119
"Levert til materialgjenvinning","EE-avfall","2014","Avfallsmengde",117
"Levert til materialgjenvinning","EE-avfall","2015","Avfallsmengde",119
"Levert til materialgjenvinning","EE-avfall","2016","Avfallsmengde",125
"Levert til materialgjenvinning","EE-avfall","2017","Avfallsmengde",119
"Levert til materialgjenvinning","EE-avfall","2018","Avfallsmengde",100
"Levert til materialgjenvinning","EE-avfall","2019","Avfallsmengde",111
"Levert til materialgjenvinning","EE-avfall","2020","Avfallsmengde",112
"Levert til materialgjenvinning","EE-avfall","2021","Avfallsmengde",114
