theme,series_family,series_id,country,source_name,dataset_or_table_id,period,frequency,flow,metric,unit,value,coverage,comparability,notes
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2023-04,monthly,imports,Trade value,source units,80528.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2023-05,monthly,imports,Trade value,source units,95712.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2023-06,monthly,imports,Trade value,source units,95591.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2023-07,monthly,imports,Trade value,source units,75037.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2023-08,monthly,imports,Trade value,source units,81501.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2023-09,monthly,imports,Trade value,source units,89815.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2023-10,monthly,imports,Trade value,source units,89984.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2023-11,monthly,imports,Trade value,source units,93815.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2023-12,monthly,imports,Trade value,source units,80599.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2024-01,monthly,imports,Trade value,source units,83559.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2024-02,monthly,imports,Trade value,source units,80131.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2024-03,monthly,imports,Trade value,source units,80521.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2024-04,monthly,imports,Trade value,source units,97208.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2024-05,monthly,imports,Trade value,source units,96900.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2024-06,monthly,imports,Trade value,source units,87434.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2024-07,monthly,imports,Trade value,source units,87486.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2024-08,monthly,imports,Trade value,source units,91981.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2024-09,monthly,imports,Trade value,source units,93260.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2024-10,monthly,imports,Trade value,source units,104077.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2024-11,monthly,imports,Trade value,source units,95331.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
