country_code,country_name,municipality_code,municipality_name,population,area_km2,method,total_stores,parent_hhi_store_count_proxy,top_parent,top_parent_store_share_pct,stores_per_10000_population,unknown_parent_store_count,parent_counts,assigned_country_store_points,unassigned_country_store_points,data_quality
se,Sverige,1982,Fagersta,6860,2655,store_count_proxy,7,2245,Coop Sverige,28.6,10.2,1,Coop Sverige:2|ICA Gruppen:2|Axfood:1|Lidl:1|Unknown:1,5049,0,ok
se,Sverige,1983,Köping,5380,3398,store_count_proxy,8,2813,ICA Gruppen,37.5,14.9,0,ICA Gruppen:3|Axfood:2|Coop Sverige:2|Lidl:1,5049,0,ok
se,Sverige,1984,Arboga,15150,4188,store_count_proxy,9,2840,ICA Gruppen,44.4,5.9,2,ICA Gruppen:4|Unknown:2|Lidl:1|Axfood:1|Coop Sverige:1,5049,0,ok
se,Sverige,2021,Vansbro,7290,6789,store_count_proxy,6,2778,Unknown,33.3,8.2,2,Unknown:2|Axfood:2|ICA Gruppen:1|Coop Sverige:1,5049,0,ok
se,Sverige,2023,Malung-Sälen,7140,6513,store_count_proxy,21,3107,ICA Gruppen,38.1,29.4,8,ICA Gruppen:8|Unknown:8|Coop Sverige:2|Axfood:2|Lidl:1,5049,0,ok
se,Sverige,2026,Gagnef,6370,5244,store_count_proxy,7,3878,ICA Gruppen,57.1,11,1,ICA Gruppen:4|Axfood:1|Coop Sverige:1|Unknown:1,5049,0,ok
se,Sverige,2029,Leksand,3380,3076,store_count_proxy,10,3000,Unknown,40,29.6,4,Unknown:4|Axfood:3|ICA Gruppen:2|Coop Sverige:1,5049,0,ok
se,Sverige,2031,Rättvik,18940,10598,store_count_proxy,8,3125,Axfood,37.5,4.2,3,Axfood:3|Unknown:3|ICA Gruppen:1|Coop Sverige:1,5049,0,ok
se,Sverige,2034,Orsa,3450,4112,store_count_proxy,6,2778,Unknown,33.3,17.4,2,Unknown:2|ICA Gruppen:2|Axfood:1|Coop Sverige:1,5049,0,ok
se,Sverige,2039,Älvdalen,5310,2773,store_count_proxy,13,3728,Unknown,53.8,24.5,7,Unknown:7|ICA Gruppen:3|Coop Sverige:2|Axfood:1,5049,0,ok
se,Sverige,2061,Smedjebacken,7260,5461,store_count_proxy,4,3750,ICA Gruppen,50,5.5,1,ICA Gruppen:2|Unknown:1|Coop Sverige:1,5049,0,ok
se,Sverige,2062,Mora,10050,4709,store_count_proxy,10,3000,Unknown,40,10,4,Unknown:4|ICA Gruppen:3|Axfood:2|Coop Sverige:1,5049,0,ok
se,Sverige,2080,Falun,12740,5424,store_count_proxy,24,2292,Unknown,33.3,18.8,8,Unknown:8|Coop Sverige:5|Axfood:5|ICA Gruppen:4|Bergendahls:1|Lidl:1,5049,0,ok
se,Sverige,2081,Borlänge,71620,7426,store_count_proxy,19,2853,ICA Gruppen,36.8,2.7,6,ICA Gruppen:7|Unknown:6|Axfood:4|Lidl:1|Coop Sverige:1,5049,0,ok
se,Sverige,2082,Säter,7430,2928,store_count_proxy,7,3061,Unknown,42.9,9.4,3,Unknown:3|ICA Gruppen:2|Coop Sverige:1|Axfood:1,5049,0,ok
se,Sverige,2083,Hedemora,8360,3300,store_count_proxy,9,2840,ICA Gruppen,33.3,10.8,3,ICA Gruppen:3|Unknown:3|Axfood:2|Lidl:1,5049,0,ok
se,Sverige,2084,Avesta,19680,7900,store_count_proxy,11,2562,Unknown,36.4,5.6,4,Unknown:4|ICA Gruppen:3|Axfood:2|Lidl:1|Coop Sverige:1,5049,0,ok
se,Sverige,2085,Ludvika,56470,5940,store_count_proxy,13,2544,Coop Sverige,38.5,2.3,2,Coop Sverige:5|ICA Gruppen:3|Axfood:2|Unknown:2|Lidl:1,5049,0,ok
se,Sverige,2101,Ockelbo,4790,4265,store_count_proxy,6,5000,Unknown,66.7,12.5,4,Unknown:4|ICA Gruppen:1|Axfood:1,5049,0,ok
se,Sverige,2104,Hofors,6990,11267,store_count_proxy,7,3061,Unknown,42.9,10,3,Unknown:3|ICA Gruppen:2|Coop Sverige:1|Lidl:1,5049,0,ok
se,Sverige,2121,Ovanåker,10090,5454,store_count_proxy,8,3438,ICA Gruppen,50,7.9,2,ICA Gruppen:4|Unknown:2|Coop Sverige:1|Axfood:1,5049,0,ok
se,Sverige,2132,Nordanstig,5010,6174,store_count_proxy,10,4600,Unknown,60,20,6,Unknown:6|ICA Gruppen:3|Coop Sverige:1,5049,0,ok
se,Sverige,2161,Ljusdal,6200,3440,store_count_proxy,11,2893,Unknown,36.4,17.7,4,Unknown:4|ICA Gruppen:4|Coop Sverige:1|Axfood:1|Lidl:1,5049,0,ok
