fartoy_id;antall_sedler;antall_linjer;rundvekt_kg;fangstverdi_kr;siste_landingsdato;topp3_arter_rundvekt
1976009383;156;929;159164.8;1717215.0;2025-12-29;Makrell (41 689 kg) | Norsk vårgytende sild (37 453 kg) | Breiflabb (19 105 kg)
1976009500;18;147;10681.6;322055.0;2025-11-26;Nordøstarktisk torsk (9 530 kg) | Sei (562 kg) | Kveite (179 kg)
1976010048;48;248;7423.8;159373.0;2025-12-09;Nordøstarktisk torsk (3 058 kg) | Sei (2 389 kg) | Lyr (1 252 kg)
1976010174;35;181;28005.8;1057824.0;2025-09-10;Blåkveite (10 012 kg) | Nordøstarktisk torsk (9 318 kg) | Sei (7 037 kg)
1976010456;21;97;13747.5;1315050.0;2025-12-16;Nordøstarktisk torsk (11 172 kg) | Kongekrabbe  hann- (1 434 kg) | Sei (1 002 kg)
1976011860;5;22;707.6;32906.0;2025-03-13;Brosme (363 kg) | Kongekrabbe  hunn- (126 kg) | Nordøstarktisk hyse (118 kg)
1977000459;25;100;13349.3;1075523.0;2025-09-12;Nordøstarktisk torsk (11 216 kg) | Kongekrabbe  hann- (1 447 kg) | Sei (540 kg)
1977000577;26;154;25058.3;928823.0;2025-12-18;Nordøstarktisk torsk (14 811 kg) | Nordøstarktisk hyse (6 363 kg) | Kongekrabbe  hann- (1 733 kg)
1977002527;23;97;11599.0;460492.0;2025-09-22;Nordøstarktisk torsk (10 083 kg) | Kongekrabbe  hann- (1 437 kg) | Kongekrabbe  hunn- (59 kg)
1977003411;3;3;13700.0;0.0;2025-08-30;Makrell (13 700 kg)
1977003832;1;5;595.8;25690.0;2025-04-12;Nordøstarktisk torsk (596 kg)
1977003973;37;290;42209.9;1800216.0;2025-12-09;Nordøstarktisk torsk (20 364 kg) | Nordøstarktisk hyse (10 256 kg) | Brosme (4 518 kg)
1977004000;52;487;42041.3;1040451.0;2025-10-27;Nordøstarktisk torsk (19 426 kg) | Sei (14 952 kg) | Breiflabb (3 056 kg)
1977004114;8;18;12433.5;1338811.0;2025-04-01;Nordøstarktisk torsk (11 001 kg) | Kongekrabbe  hann- (1 433 kg)
1977005796;33;281;139841.9;4131984.0;2025-12-09;Nordøstarktisk torsk (70 963 kg) | Nordøstarktisk hyse (43 366 kg) | Blåkveite (11 284 kg)
1977005829;73;390;55231.8;1631494.0;2025-12-09;Nordøstarktisk torsk (24 516 kg) | Rognkjeks (hun) (17 684 kg) | Sei (11 563 kg)
1977006206;80;849;508268.9;16054711.0;2025-12-15;Nordøstarktisk torsk (252 654 kg) | Sei (212 446 kg) | Blåkveite (12 839 kg)
1977006958;11;120;8367.1;403982.0;2025-04-30;Nordøstarktisk torsk (7 953 kg) | Sei (155 kg) | Kveite (123 kg)
1977008409;20;99;14104.2;581968.0;2025-09-01;Nordøstarktisk torsk (12 540 kg) | Kongekrabbe  hann- (1 458 kg) | Sei (70 kg)
1977008630;6;21;206104.0;1761475.0;2025-08-19;Norsk vårgytende sild (165 600 kg) | Makrell (40 325 kg) | Sei (179 kg)
1977009195;9;48;12806.0;1531762.0;2025-07-21;Nordøstarktisk torsk (10 134 kg) | Kongekrabbe  hann- (2 599 kg) | Kongekrabbe  hunn- (73 kg)
1977009211;5;30;446822.0;4809287.0;2025-01-13;Norsk vårgytende sild (446 748 kg) | Sei (74 kg)
1977009811;35;111;19008.0;429481.0;2025-11-25;Sei (9 215 kg) | Nordøstarktisk torsk (9 131 kg) | Uer (vanlig) (485 kg)
1977009878;68;282;27633.9;613552.0;2025-12-16;Sei (14 555 kg) | Nordøstarktisk torsk (8 339 kg) | Uer (vanlig) (1 460 kg)
1977009913;9;46;12257.0;578286.0;2025-08-14;Nordøstarktisk torsk (11 082 kg) | Breiflabb (971 kg) | Kveite (152 kg)
1977009958;67;304;30047.9;305358.0;2025-10-21;Taskekrabbe  han- (14 152 kg) | Taskekrabbe  hun- (7 307 kg) | Nordøstarktisk hyse (4 395 kg)
1977009992;17;81;12895.6;501660.0;2025-09-15;Nordøstarktisk torsk (11 003 kg) | Kongekrabbe  hann- (1 409 kg) | Kveite (161 kg)
1977010469;32;123;17072.7;1005260.0;2025-12-09;Nordøstarktisk torsk (15 003 kg) | Kongekrabbe  hann- (1 442 kg) | Sei (446 kg)
1977011094;2;5;82.0;0.0;2025-09-01;Kveite (56 kg) | Gråsteinbit (19 kg) | Brosme (7 kg)
1977011655;17;73;7575.5;142249.0;2025-12-09;Nordøstarktisk torsk (5 366 kg) | Sei (1 435 kg) | Kongekrabbe  hann- (731 kg)
1978000223;43;90;18659.0;448314.0;2025-11-11;Sei (11 109 kg) | Nordøstarktisk torsk (7 505 kg) | Uer (vanlig) (14 kg)
1978000588;19;68;13820.0;1141612.0;2025-08-15;Nordøstarktisk torsk (11 661 kg) | Kongekrabbe  hann- (1 435 kg) | Sei (469 kg)
1978001298;46;207;2129.3;52374.0;2025-12-22;Fjordsild (745 kg) | Breiflabb (525 kg) | Lange (257 kg)
1978001683;8;62;19537.1;1025301.0;2025-03-24;Nordøstarktisk torsk (19 058 kg) | Kveite (300 kg) | Lange (60 kg)
1978001937;4;15;742.5;0.0;2025-12-17;Kongekrabbe  hann- (719 kg) | Kongekrabbe  hunn- (24 kg)
1978002007;18;153;38028.2;1665844.0;2025-06-18;Nordøstarktisk torsk (18 069 kg) | Blåkveite (9 811 kg) | Nordøstarktisk hyse (7 215 kg)
1978002228;6;8;2998.4;52436.0;2025-12-12;Sei (2 994 kg) | Torsk (4 kg)
1978002308;26;70;14532.4;548967.0;2025-12-17;Nordøstarktisk torsk (11 878 kg) | Kongekrabbe  hann- (1 468 kg) | Sei (1 100 kg)
1978002338;8;50;24722.8;1170371.0;2025-11-18;Nordøstarktisk torsk (23 138 kg) | Kongekrabbe  hann- (1 448 kg) | Kongekrabbe  hunn- (77 kg)
1978002454;18;71;7089.0;629342.0;2025-08-11;Nordøstarktisk torsk (5 653 kg) | Kongekrabbe  hann- (1 378 kg) | Kongekrabbe  hunn- (58 kg)
1978002640;16;60;10935.0;480149.0;2025-05-02;Nordøstarktisk torsk (10 925 kg) | Sei (9 kg) | Nordøstarktisk hyse (1 kg)
1978002919;18;75;7280.6;233627.0;2025-11-25;Nordøstarktisk torsk (5 546 kg) | Kongekrabbe  hann- (1 488 kg) | Brosme (114 kg)
1978003651;45;544;834019.5;28640209.0;2025-08-29;Nordøstarktisk torsk (523 848 kg) | Sei (170 381 kg) | Nordøstarktisk hyse (129 400 kg)
1978003876;29;287;59278.3;2402294.0;2025-06-09;Nordøstarktisk torsk (30 956 kg) | Nordøstarktisk hyse (10 538 kg) | Blåkveite (9 996 kg)
1978003952;9;46;4843.9;0.0;2025-11-19;Kveite (1 898 kg) | Brosme (1 472 kg) | Nordøstarktisk torsk (896 kg)
1978004516;29;123;10571.4;451720.0;2025-12-22;Nordøstarktisk torsk (8 976 kg) | Kongekrabbe  hann- (1 483 kg) | Kongekrabbe  hunn- (79 kg)
1978004792;4;15;1547.0;0.0;2025-12-27;Kongekrabbe  hann- (1 536 kg) | Kongekrabbe  hunn- (11 kg)
1978004802;54;407;82476.9;1810108.0;2025-12-04;Sei (35 975 kg) | Nordøstarktisk torsk (24 027 kg) | Blåkveite (9 704 kg)
1978005124;47;560;135376.6;4070283.0;2025-12-09;Nordøstarktisk torsk (62 994 kg) | Nordøstarktisk hyse (40 661 kg) | Blåkveite (11 632 kg)
1978005632;21;72;4439.4;80944.0;2025-10-30;Sei (2 629 kg) | Nordøstarktisk torsk (1 795 kg) | Brosme (10 kg)
1978005965;16;35;766.5;26971.0;2025-11-06;Kveite (294 kg) | Nordøstarktisk torsk (198 kg) | Sei (108 kg)
1978006010;21;151;72966.7;2926330.0;2025-11-28;Nordøstarktisk torsk (46 012 kg) | Blåkveite (13 804 kg) | Lange (4 609 kg)
1978006093;41;247;21816.6;443119.0;2025-12-15;Nordøstarktisk torsk (7 304 kg) | Sei (7 239 kg) | Kveite (3 895 kg)
1978006601;59;225;11028.1;473863.0;2025-11-21;Nordøstarktisk torsk (8 058 kg) | Sei (2 862 kg) | Nordøstarktisk hyse (82 kg)
1978006722;12;60;3012.4;116062.0;2025-09-16;Nordøstarktisk torsk (2 028 kg) | Sei (867 kg) | Kveite (100 kg)
1978006754;44;242;20144.3;387843.0;2025-12-12;Nordøstarktisk torsk (12 364 kg) | Sei (4 113 kg) | Kongekrabbe  hann- (1 882 kg)
1978006810;25;139;11425.4;0.0;2025-12-27;Nordøstarktisk torsk (10 679 kg) | Sei (473 kg) | Nordøstarktisk hyse (268 kg)
1978006966;107;1174;211577.4;4099957.0;2025-12-20;Sei (94 587 kg) | Nordøstarktisk torsk (43 902 kg) | Lange (24 583 kg)
1978007033;16;171;56759.7;2844523.0;2025-06-16;Nordøstarktisk torsk (44 517 kg) | Blåkveite (10 904 kg) | Skolest (949 kg)
1978007282;23;127;11885.7;478544.0;2025-11-20;Nordøstarktisk torsk (9 855 kg) | Kongekrabbe  hann- (1 447 kg) | Lange (157 kg)
