freq,unit,coicop,geo,time,freq_label,unit_label,coicop_label,geo_label,time_label,value
M,I15,CP01,FI,2021-06,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2021-06,102.75
M,I15,CP01,FI,2021-07,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2021-07,102.9
M,I15,CP01,FI,2021-08,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2021-08,102.96
M,I15,CP01,FI,2021-09,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2021-09,103.32
M,I15,CP01,FI,2021-10,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2021-10,103.7
M,I15,CP01,FI,2021-11,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2021-11,104.3
M,I15,CP01,FI,2021-12,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2021-12,104.01
M,I15,CP01,FI,2022-01,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2022-01,106.19
M,I15,CP01,FI,2022-02,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2022-02,107.85
M,I15,CP01,FI,2022-03,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2022-03,108.66
M,I15,CP01,FI,2022-04,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2022-04,109.69
M,I15,CP01,FI,2022-05,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2022-05,112.54
M,I15,CP01,FI,2022-06,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2022-06,113.95
M,I15,CP01,FI,2022-07,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2022-07,115.66
M,I15,CP01,FI,2022-08,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2022-08,115.83
M,I15,CP01,FI,2022-09,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2022-09,118.31
M,I15,CP01,FI,2022-10,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2022-10,120.02
M,I15,CP01,FI,2022-11,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2022-11,121.07
M,I15,CP01,FI,2022-12,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2022-12,120.68
M,I15,CP01,FI,2023-01,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2023-01,122.58
M,I15,CP01,FI,2023-02,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2023-02,125.4
M,I15,CP01,FI,2023-03,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2023-03,126.26
