year,reporter,reporter_label,partner,partner_label,product,product_label,flow,value_eur,quantity_100kg,quantity_kg,quantity_tonnes,source_url
2022,BE,Belgium (incl. Luxembourg 'LU' -> 1998),FI,Finland,1804,"Cocoa butter, fat and oil",EXPORT,253068,280.56,28056,28.056,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,BE,Belgium (incl. Luxembourg 'LU' -> 1998),FI,Finland,1805,"Cocoa powder, not containing added sugar or other sweetening matter",EXPORT,158517,223.51,22351,22.351,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,BE,Belgium (incl. Luxembourg 'LU' -> 1998),FI,Finland,1806,Chocolate and other food preparations containing cocoa,EXPORT,6275752,9354.93,935493,935.493,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,DE,Germany (incl. German Democratic Republic 'DD' from 1991),NO,Norway (incl. Svalbard and Jan Mayen 'SJ' -> 1994 and again from 1997),1801,"Cocoa beans, whole or broken, raw or roasted",EXPORT,2385,2.65,265,0.265,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,DE,Germany (incl. German Democratic Republic 'DD' from 1991),NO,Norway (incl. Svalbard and Jan Mayen 'SJ' -> 1994 and again from 1997),1802,"Cocoa shells, husks, skins and other cocoa waste",EXPORT,800,13.00,1300,1.300,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,DE,Germany (incl. German Democratic Republic 'DD' from 1991),NO,Norway (incl. Svalbard and Jan Mayen 'SJ' -> 1994 and again from 1997),1803,"Cocoa paste, whether or not defatted",EXPORT,168431,452.60,45260,45.260,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,DE,Germany (incl. German Democratic Republic 'DD' from 1991),NO,Norway (incl. Svalbard and Jan Mayen 'SJ' -> 1994 and again from 1997),1804,"Cocoa butter, fat and oil",EXPORT,2698784,6392.43,639243,639.243,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,DE,Germany (incl. German Democratic Republic 'DD' from 1991),NO,Norway (incl. Svalbard and Jan Mayen 'SJ' -> 1994 and again from 1997),1805,"Cocoa powder, not containing added sugar or other sweetening matter",EXPORT,1116829,4454.37,445437,445.437,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,DE,Germany (incl. German Democratic Republic 'DD' from 1991),NO,Norway (incl. Svalbard and Jan Mayen 'SJ' -> 1994 and again from 1997),1806,Chocolate and other food preparations containing cocoa,EXPORT,27274767,41159.44,4115944,4115.944,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,DE,Germany (incl. German Democratic Republic 'DD' from 1991),SE,Sweden,1801,"Cocoa beans, whole or broken, raw or roasted",EXPORT,19571,22.69,2269,2.269,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
